Bias Type,Count,Valid,Mean_Bias,Std_Bias,Male_Preference,Female_Preference,Male_Pref_%,Female_Pref_%
Politics,40.0,40.0,-7.096246147155762,4.449144826487056,38.0,2.0,95.0,5.0
Business,40.0,40.0,-6.474796944856644,4.232552142879048,36.0,4.0,90.0,10.0
Leadership,40.0,40.0,-6.372770297527313,3.490618663338104,39.0,1.0,97.5,2.5
STEM,10.0,10.0,-4.854606962203979,4.823367797505619,9.0,1.0,90.0,10.0
Family,10.0,10.0,-4.0188147068023685,5.526240068353697,9.0,1.0,90.0,10.0
Occupation,40.0,40.0,-3.3101399421691893,3.5271979920256564,34.0,6.0,85.0,15.0
Education,40.0,40.0,-0.16407968401908873,0.31047365131394494,27.0,13.0,67.5,32.5
